,SAMPLE_ID,Q12,Q18,Q24,Q26_001,Q40_001_UNIT1,Q40_001_UNIT2,Q66
3301,30319626.0,1.0,6.0,6.0,6.0,20.0,5.0,5.0
3302,30319646.0,1.0,19.0,99.0,1.0,1.0,4.0,3.0
3303,30319661.0,1.0,10.0,99.0,10.0,10.0,-1.0,6.0
3304,30319671.0,1.0,16.0,16.0,2.0,16.0,-1.0,5.0
3305,30319711.0,1.0,11.0,11.0,5.0,99.0,99.0,3.0
3306,30319731.0,1.0,4.0,4.0,4.0,3.0,-1.0,3.0
3307,30319756.0,1.0,5.0,5.0,6.0,4.0,-1.0,5.0
3308,30319761.0,1.0,15.0,15.0,-1.0,6.0,-1.0,6.0
3309,30319796.0,1.0,5.0,5.0,6.0,13.0,-1.0,3.0
3310,30319816.0,1.0,10.0,10.0,8.0,8.0,-1.0,5.0
3311,30319846.0,1.0,5.0,5.0,99.0,5.0,-1.0,3.0
3312,30319856.0,1.0,8.0,8.0,15.0,19.0,-1.0,4.0
3313,30319861.0,1.0,10.0,99.0,12.0,18.0,-1.0,2.0
3314,30319896.0,1.0,5.0,5.0,7.0,3.0,-1.0,2.0
3315,30319906.0,1.0,5.0,5.0,5.0,5.0,-1.0,5.0
3316,30319916.0,1.0,99.0,-1.0,1.0,99.0,-1.0,1.0
3317,30319921.0,1.0,4.0,4.0,2.0,10.0,-1.0,3.0
3318,30319931.0,1.0,10.0,16.0,10.0,10.0,-1.0,3.0
3319,30319956.0,1.0,10.0,10.0,10.0,10.0,-1.0,2.0
3320,30319966.0,1.0,1.0,1.0,14.0,1.0,-1.0,5.0
3321,30319981.0,1.0,4.0,4.0,1.0,6.0,-1.0,2.0
3322,30319991.0,1.0,99.0,99.0,4.0,99.0,99.0,1.0
3323,30320016.0,1.0,6.0,6.0,6.0,6.0,-1.0,1.0
3324,30320036.0,1.0,13.0,13.0,13.0,12.0,-1.0,3.0
3325,30320061.0,99.0,10.0,6.0,-1.0,-1.0,-1.0,2.0
3326,30320066.0,1.0,1.0,1.0,5.0,5.0,-1.0,4.0
